project_id,project_name,start_date,end_date,project_manager,team_members,status,budget,expenditure,client
P0001,IoT Automation,2024-09-29 20:26:27,2024-08-29 20:26:27,David,"Frank, Bob, Eve",Completed,372988,858847,Client D
P0002,AI Software,2023-11-23 20:26:27,2022-06-25 20:26:27,Frank,Charlie,pennding,782059,143571,Client A
P0003,AI Software,2024-04-28 20:26:27,2024-10-18 20:26:27,Eve,"Charlie, Frank",Cancelled,130217,451166,Client C
P0004,IoT Automation,2022-07-23 20:26:27,,Bob,"Frank, Alice, Charlie",Cancelled,783051,185793,Client B
P0005,Data Warehouse,2022-02-23 20:26:27,2023-05-04 20:26:27,Eve,Charlie,Pending,907420,,Client A
P0006,Blockchain Integration,2023-01-27 20:26:27,2023-02-06 20:26:27,Eve,Eve,Cancelled,293810,806726,Client A
P0007,Blockchain Integration,2023-07-07 20:26:27,,Frank,David,Completed,506272,,Client B
P0008,Blockchain Integration,2022-06-22 20:26:27,,Eve,David,Completed,878896,409597,Client D
P0009,IoT Automation,2022-11-14 20:26:27,2023-09-02 20:26:27,Bob,Alice,Cancelled,315569,604859,Client B
P0010,AI Software,2022-03-24 20:26:27,2023-12-16 20:26:27,Bob,"Eve, Charlie, Frank",Pending,697905,310753,Client D
P0011,IoT Automation,2023-10-16 20:26:27,2022-06-25 20:26:27,Alice,"Eve, Bob",Active,413115,703235,Client A
P0012,IoT Automation,2024-07-22 20:26:27,2022-05-18 20:26:27,Charlie,"David, Charlie, Alice",pennding,806956,274488,Client D
P0013,App Development,2023-07-31 20:26:27,2024-10-07 20:26:27,David,Bob,Cancelled,722076,,Client D
P0014,AI Software,2022-06-09 20:26:27,2022-05-12 20:26:27,Charlie,Charlie,Completed,478471,502406,Client C
P0015,App Development,2024-07-04 20:26:27,2022-05-26 20:26:27,Frank,,pennding,779299,268525,Client E
P0016,,2024-02-14 20:26:27,2024-02-16 20:26:27,Eve,David,Cancelled,694381,742413,Client E
P0017,AI Software,2023-08-01 20:26:27,,Alice,"Alice, Eve",Cancelled,984539,732231,Client A
P0018,AI Software,2023-02-25 20:26:27,,Alice,"Eve, Bob, Charlie",pennding,635926,366109,Client A
P0019,AI Software,2023-09-06 20:26:27,2022-05-14 20:26:27,Frank,Eve,Cancelled,,158663,Client E
P0020,Blockchain Integration,2023-05-03 20:26:27,2023-01-16 20:26:27,David,"Frank, Alice, David",Completed,,873133,Client B
P0021,Blockchain Integration,2024-08-01 20:26:27,,David,"Eve, Frank",Active,450153,155338,Client C
P0022,,2023-09-11 20:26:27,2024-01-02 20:26:27,Charlie,Frank,Completed,854914,,Client E
P0023,App Development,2022-05-13 20:26:27,,Charlie,Frank,Completed,443260,,Client C
P0024,AI Software,2023-12-08 20:26:27,2024-06-25 20:26:27,,"David, Charlie",pennding,509735,463960,Client C
P0025,App Development,2022-09-18 20:26:27,,,,Cancelled,273284,197441,Client E
P0026,Blockchain Integration,2023-11-08 20:26:27,,,"David, Eve",Active,603500,59166,Client A
P0027,IoT Automation,2024-03-08 20:26:27,,Eve,,Pending,399203,392506,Client B
P0028,IoT Automation,2023-11-14 20:26:27,,Frank,"Frank, David",Completed,799425,207420,Client A
P0029,IoT Automation,2022-08-15 20:26:27,2022-07-19 20:26:27,Alice,"Bob, David",Completed,360590,443820,Client E
P0030,App Development,2024-05-01 20:26:27,,Charlie,"Bob, Eve",Cancelled,,670129,Client E
P0031,Cloud Migration,2024-08-03 20:26:27,2023-12-16 20:26:27,Bob,Bob,Active,100283,434541,Client E
P0032,Blockchain Integration,2023-05-17 20:26:27,2022-10-24 20:26:27,Charlie,"Charlie, Alice, David",Pending,749358,416975,Client E
P0033,Cloud Migration,2023-01-11 20:26:27,,Eve,,Active,,879398,Client B
P0034,App Development,2024-06-26 20:26:27,2022-11-09 20:26:27,David,"David, Bob",Cancelled,,,Client A
P0035,Data Warehouse,2023-04-26 20:26:27,,Eve,"Eve, Bob, Frank",Completed,100009,736981,Client C
P0036,AI Software,2023-05-17 20:26:27,2023-12-01 20:26:27,Bob,"Charlie, Eve",Completed,499948,,Client D
P0037,Blockchain Integration,2024-04-05 20:26:27,,David,"Eve, Charlie",Cancelled,267234,800437,Client C
P0038,IoT Automation,2022-04-07 20:26:27,2022-07-15 20:26:27,Alice,"David, Bob, Alice",pennding,,,Client E
P0039,Cloud Migration,2022-08-18 20:26:27,,Bob,Charlie,Completed,777141,867070,Client E
P0040,Data Warehouse,2023-10-29 20:26:27,2023-03-02 20:26:27,Bob,"Frank, David, Alice",Completed,543721,570678,Client B
P0041,Data Warehouse,2023-10-27 20:26:27,2023-10-10 20:26:27,Frank,"David, Bob",Cancelled,490931,864075,Client E
P0042,Blockchain Integration,2022-10-07 20:26:27,2023-12-21 20:26:27,Charlie,"Frank, Bob, Alice",Completed,,,Client E
P0043,Blockchain Integration,2022-07-05 20:26:27,,Bob,"David, Alice",Pending,123482,174413,Client D
P0044,Data Warehouse,2022-12-30 20:26:27,2023-08-16 20:26:27,Frank,"Eve, David",Completed,136692,250022,Client C
P0045,AI Software,2022-07-09 20:26:27,2023-11-21 20:26:27,Alice,,Pending,416722,426455,Client A
P0046,AI Software,2024-05-22 20:26:27,2023-11-01 20:26:27,Alice,Charlie,Active,579123,615852,Client E
